Country,Year,Energy Type,Installed Capacity (MW),Production (GWh),Investments (USD),Renewable Energy Jobs,Electricity Prices,Investment/MW,Gross Revenue,ROI
Germany,2009,Hydro,41626.23335242157,92906.97859807416,3400169255.8055177,673544,0.4974652759327825,81683.32760301781,46217995744.37208,783.5353470286236
India,2013,Hydro,5377.633337672783,5966.455418039445,1191721855.095749,313190,0.1559422286718622,221607.12348073118,930422355.1603783,-49.25203995644979
Russia,2012,Biomass,22375.50501569952,1789.2223242426649,3756252042.707596,705459,0.3998714152132949,167873.39727403087,715458862.9261352,-87.61935419629695
Germany,2009,Wind,1229.637303775069,83761.87844780517,365455333.0475095,836389,0.1734729432665441,297205.79550208594,14530419587.875269,2484.384978968441
Brazil,2001,Wind,19590.357430833064,56404.930033995995,6949496692.5526495,185446,0.0595960931867374,354740.6787798015,3361513466.4974284,-68.55910794856781
India,2017,Hydro,45709.329538681726,55128.58767041516,2920578934.0471587,511557,0.314250731259278,63894.59140011243,17324198988.71918,285.5649717730122
India,2008,Solar,34735.344032600726,86177.44391573302,3874827344.358037,565655,0.1068783510945824,111552.87077972604,9210503107.259398,54.505645998285836
Canada,2014,Biomass,16913.69224167054,6453.0906645401155,7292534732.747602,939417,0.1538581222647197,431161.607326688,992860412.4501344,-91.15041214415395
Russia,2018,Geothermal,22628.284953640738,49227.71418282012,6759448262.636899,229468,0.4217106477517766,298716.7731220103,20759851235.376392,99.63024759850158
Russia,2021,Biomass,18841.21387585889,65570.88820967545,9373341207.448565,663103,0.0629105714510955,497491.3648986575,4125102047.826584,-71.39423102450853
China,2001,Wind,25029.888748843136,20257.898443840822,3698334279.9087234,635109,0.2118747112981988,147756.72065580628,4292136384.297005,-24.563643017636863
Canada,2002,Geothermal,28077.80322063627,96663.09314579055,494425759.4399454,826255,0.1613963466789451,17609.13257902451,15601070092.417171,1951.004699180299
France,2023,Geothermal,18049.024092695603,72358.09526706903,7751321375.697465,602539,0.116402953164444,429459.30682392995,8422695974.441014,-29.37007617112198
India,2012,Wind,46536.88902470066,25423.05408758865,2005033694.1615207,42127,0.1750205336682092,43084.824451787,4449556493.885512,44.24753705872604
Canada,2001,Geothermal,882.966312711506,51201.056808227826,7204146023.372378,625790,0.3136881317464104,8159027.042888111,16061163853.614815,44.91317181772793
India,2001,Biomass,43246.77955397201,19781.7986752077,3276653340.694644,138014,0.1772804075756111,75766.41253958293,3506925331.719505,-30.432022292158972
Brazil,2006,Geothermal,48813.419569253,93695.63905641565,4512530779.344138,407162,0.3920718067621093,92444.47160564282,36735418490.57934,429.14923324571885
Russia,2018,Geothermal,6223.278307176965,44800.79342826655,8207235171.142827,874544,0.2305761841034047,1318796.1016748797,10329995993.49459,-18.18807118650512
Brazil,2023,Hydro,31847.37114746342,90384.32863471047,1682133513.1606936,349738,0.3369440602788255,52818.598601808684,30454462675.755062,1076.803183835607
Canada,2018,Hydro,34543.011825498084,98141.44098216596,2525496221.759917,391958,0.1570459485610618,73111.63932427311,15412715692.193718,296.68502029848975
Germany,2003,Hydro,31814.445371129474,48707.46612234696,2208248585.6389723,162155,0.2057074718462853,69410.24933418713,10019489716.066582,194.92460032794682
Russia,2018,Solar,18067.849054932012,41942.55382348479,9043695634.653849,558120,0.3275435179756059,500540.80079804384,13738011632.225409,-1.2604147498125697
France,2017,Wind,36298.524449198514,30824.64531425479,864455661.0326066,832722,0.1978970028935402,23815.173595897893,6100104922.947431,358.67803042431234
Russia,2002,Hydro,31803.72882094006,33626.28785566447,1124989723.4872794,340866,0.2737654668903369,35372.88755734104,9205716394.594849,431.890694782361
India,2014,Solar,38771.77936436047,56260.07885612227,474499071.94503665,231336,0.2172008604727355,12238.258850229671,12219737537.813711,1573.9399230055744
Russia,2022,Hydro,20191.545365971862,22346.740694105138,3594189603.6441355,546387,0.3755441157919609,178004.68158823065,8392186974.799945,51.77055567934536
China,2010,Biomass,39136.90817456516,51839.94504482144,787814441.1268245,290765,0.2828747072322559,20129.705637780055,14664209277.490099,1109.896078667352
India,2010,Wind,29537.898774842375,3782.8203802816984,5974605171.680393,808491,0.1196026066125397,202269.13285954532,452435177.8287298,-95.07778577599359
USA,2020,Biomass,1409.7252984306538,2016.8825599683964,8121393329.62448,6378,0.2370708157957599,5760975.80050911,478143993.8559484,-96.17314931820033
USA,2022,Solar,27673.25846130746,33851.8503033385,9513058417.573631,56376,0.4918958718870274,343763.58067391004,16651585419.949825,13.775507811167206
Germany,2014,Biomass,47369.63606047746,71993.88311189004,4348122244.052807,444051,0.1046191839051108,91791.33735588552,7531941297.325875,12.594852869144887
Germany,2005,Wind,25576.880284715317,70365.86648336242,9909486906.72073,296342,0.4687968005421655,387439.2340430438,32987293074.777504,116.3758900984403
India,2001,Wind,6736.17999610027,78480.83702419525,155699341.32529718,602062,0.2504755898759395,23113.892653616014,19657533947.592777,8106.455439808148
Brazil,2002,Wind,35570.68502628876,7848.323006986146,9938619520.338808,958210,0.081525337950965,279404.7827022056,639837185.4928794,-95.81537285214242
Brazil,2003,Geothermal,34773.4522606473,53770.447896724145,2510469127.5306582,895867,0.3589901640505331,72194.99256827388,19303061911.51564,399.7866775134019
Australia,2012,Geothermal,39746.34776056209,40707.45577479822,4490880772.168098,870560,0.4882694228787831,112988.5140446572,19876205938.02431,187.6837421243436
Germany,2015,Solar,35187.05529983608,29167.693677630486,8801013401.240255,627016,0.4042475214216403,250120.77101209588,11790967874.76777,-12.91765198858795
Australia,2004,Geothermal,9321.264345363748,60887.52095436694,8882535248.651016,754042,0.1366817929738554,952932.4477391365,8322215533.776065,-39.10026872366232
Germany,2008,Geothermal,4223.48947948311,16797.943925049083,6192629464.103522,417976,0.1727630018911498,1466235.323702382,2902063218.090683,-69.538931681713
Germany,2009,Solar,35151.61625416763,5329.14337991147,4036431009.342106,40955,0.1639827813414534,114829.17258074983,873887753.6052765,-85.92749291320077
France,2000,Wind,37031.07767325093,41553.63620884953,4944095096.575339,937281,0.2063661615169773,133512.05007319196,8575264401.493157,12.738969459375479
Japan,2023,Solar,41579.35304834365,31038.785057032874,6497451422.406721,780614,0.2276821687066482,156266.294351724,7066977895.80475,-29.302501340262477
France,2015,Hydro,19261.953410362737,60449.78571212928,5000630709.580252,990592,0.4124257186316207,259611.81626002493,24931046313.452393,224.0627241819323
Brazil,2021,Geothermal,25607.255440621742,76496.97591425688,6551275132.918738,347941,0.4917938937328415,255836.6767617824,37620745643.65978,273.26297815680795
China,2017,Wind,39789.502705985426,23202.87141054954,4221217088.685588,796805,0.2091273692910882,106088.71188658012,4852355458.0876255,-25.281477320583246
France,2021,Hydro,41163.789202071006,24540.24667593669,9652646896.779976,577633,0.256090034706834,234493.64317253715,6284512622.954895,-57.68069371434923
Germany,2016,Solar,28881.675656613173,78694.06672162988,617372647.698273,497256,0.2835077499136005,21375.928981354315,22310377787.800034,2248.945262822435
Germany,2008,Wind,48597.87715820904,37036.17354358745,8294915907.518588,597893,0.1619554913520877,170684.73753523675,5998211684.052897,-52.99726196017923
Japan,2016,Biomass,8989.185411440883,61591.58638186254,4627916153.434539,569145,0.4058964144132125,514831.5382998343,24999804070.41965,251.12720513990237
France,2000,Wind,1227.8666803809158,37182.662892124,5796309684.073065,883303,0.3977526704041087,4720634.395156729,14789503458.07808,65.84995922777499
France,2022,Hydro,48959.55345381749,92816.3453770617,634975347.167394,65651,0.152052307376749,12969.386000759849,14112939476.859482,1344.687687621413
Japan,2017,Hydro,39937.98270558823,44713.621570947995,3813639207.6893377,171157,0.2547835347196776,95489.02947358238,11392294553.964153,94.17126416012862
Japan,2014,Geothermal,37782.51177722834,19358.191642956754,1606295214.7781365,993024,0.0673767155529979,42514.2516794306,1304291371.9479184,-47.220823173326544
Canada,2004,Wind,15018.2781904209,72411.58130775572,6096467846.84591,211404,0.1212608007304984,405936.5374343922,8780686331.54005,-6.381100353808048
Brazil,2009,Solar,30299.410872002856,1087.2455941344515,4686346730.345129,433483,0.0732541648772471,154667.91582655453,79645268.0147856,-98.89531382997352
Brazil,2015,Hydro,38813.15339679911,89157.11587587844,3539832024.007218,534049,0.1394589966175351,91201.86622865703,12433761921.363317,128.31437181409254
Russia,2017,Solar,23369.266725762747,42287.8570905412,2910853421.6483235,744729,0.1166751953545981,124559.03969119153,4933943987.166221,10.176059289237088
Germany,2005,Solar,19026.152405226207,31484.047277678143,3879186749.842664,277566,0.108218438102958,203887.08485153876,3407154421.5500154,-42.90941589503691
Brazil,2004,Geothermal,30679.940479403667,24200.613411153092,7952421554.958191,993309,0.1697689344964846,259205.8990563193,4108512352.972796,-66.41861839218912
Canada,2019,Wind,22932.00588051711,21125.807760837903,3058277493.990165,568374,0.4372176275754154,133362.84274148292,9236575549.807846,96.31227444772894
France,2004,Wind,28543.599373188325,84722.34314555574,3499257122.4451776,991569,0.0645854771955501,122593.40795443312,5471832961.180861,1.6413284395131573
France,2011,Geothermal,30015.858564193455,1852.7882280214435,4128687307.4302697,978458,0.2430841015334649,137550.1986258513,450383361.74037313,-92.90938830353195
Canada,2023,Geothermal,38261.41695443488,96864.63884692312,961236031.5862446,849460,0.1514945708667221,25122.85503516429,14674466894.274637,892.3060692531587
Canada,2022,Geothermal,31986.711585439447,35116.52773081473,5054198890.137607,404269,0.4362830256439068,158009.33073840293,15320744968.508007,97.03388105605542
India,2021,Geothermal,29229.474112377025,71250.57457361884,6606079723.293723,794376,0.0603846591099526,226007.4778593578,4302441657.016231,-57.66646492019324
China,2000,Wind,12239.415176578024,91171.2971038426,6876746726.277974,192775,0.4184125822410482,561852.5580730091,38147217847.48459,260.5729945835246
Russia,2002,Solar,25146.840734235004,44993.26108579184,571085489.8317612,196694,0.3963992837665026,22710.029298204576,17835296468.72714,1929.983760940566
Brazil,2013,Wind,664.8441299501601,1577.9868019994642,2494594851.0595365,306378,0.1138390508847874,3752149.923090309,179636519.84833992,-95.31933059783925
France,2018,Solar,43257.53470530888,36387.44324347067,2658409026.3909225,689924,0.383737050291545,61455.398336989914,13963210137.900442,241.41046391032825
Japan,2008,Hydro,26019.016717937884,86583.31845183061,5278159983.042128,571226,0.2302944385019396,202857.78053262437,19939656706.498955,145.55483162437662
Australia,2003,Biomass,48971.77139822506,65260.5728031522,2364936805.9810815,239101,0.1830425832932452,48291.83708202143,11945463833.085878,228.3196181762133
USA,2016,Solar,18019.469069995645,80231.39528221701,4926187305.9120865,976546,0.1258881818051297,273381.37915032794,10100184475.76696,33.269798762412016
China,2004,Biomass,49142.946590456166,83220.30413566464,1018262791.6449896,421550,0.4172709817193922,20720.426069094156,34725418005.67518,2116.6695954022716
Canada,2010,Hydro,3607.446765794917,93117.9615250212,3289667346.3328714,62045,0.2417749272299559,911910.1569356016,22513588371.51383,344.8423168925249
Germany,2021,Wind,43313.11365500686,50112.56212140199,7910196685.732233,426505,0.3266837605538794,182628.21621963533,16370960244.809494,34.524141205234024
Russia,2021,Biomass,30614.20548666709,72620.62121843547,1338062337.8913789,145724,0.4373089801853922,43707.23710187819,31757649805.46367,1442.7138025632923
China,2013,Wind,27585.237435450985,6055.649786018873,1882700108.8333192,609089,0.1312184016424278,68250.27746231321,794612685.8277065,-72.56609040575903
Brazil,2002,Biomass,23609.600279052724,28232.463117492473,3265992211.26106,31171,0.4289114725213679,138333.22769800405,12109227328.628906,140.99866914776416
Canada,2002,Wind,2227.7336602183905,56286.23602091024,9723321126.964935,781256,0.1197678910826729,4364669.48477662,6741283785.205997,-54.93479642226261
India,2012,Hydro,23474.533382711248,52312.39204407467,5575420987.598075,438933,0.1720390454774957,237509.34243081973,8999773993.907146,4.922177339648702
USA,2011,Hydro,1021.1441230431442,21469.44839077439,7412586893.467252,298602,0.3423194289575906,7259099.598376735,7349409313.164351,-35.553995896264986
Brazil,2008,Geothermal,45391.25570202893,48425.01788373709,6047810661.224856,570422,0.258002259775225,133237.35084408618,12493764043.659855,34.27911492742036
Australia,2015,Solar,19094.6907586243,57524.902125687855,2979810349.895072,813456,0.3136962542604554,156054.39164021087,18045346323.527588,293.6315984239052
Brazil,2011,Solar,17997.21098751317,25460.772329378535,801360121.6211354,421736,0.3555912286273272,44526.905984329205,9053627314.40437,634.3586978670577
Australia,2015,Hydro,1410.186415811205,89130.9801560811,3925354002.3041472,332601,0.131079065646343,2783570.99337544,11683205599.00185,93.46238924931468
India,2020,Hydro,32024.062411098857,84510.20800148937,8407228250.1744,882712,0.2152955597380039,262528.47444053926,18194672535.25579,40.67106061585675
China,2011,Geothermal,13888.311137092898,82925.44921354055,7032294535.59377,411405,0.4764062315559199,506346.26962035144,39506200759.90467,265.1586315670413
China,2007,Hydro,43191.369058688026,35047.3252745184,4221885906.8420687,215387,0.3456126566107061,97748.36961304491,12112799195.22585,86.48821049704708
China,2015,Wind,36007.2141413297,84080.51717496585,298174926.5705228,225962,0.3254418058929969,8280.977400811258,27363315349.83803,5865.006911199166
Germany,2012,Hydro,38354.067056773594,17034.752290471974,6009317737.458584,879901,0.4180531830340687,156680.06546902296,7121432417.228701,-22.970771834136876
Canada,2007,Geothermal,14440.241278202,16908.3347537797,7935535031.563793,253175,0.2716234941121756,549543.1051794635,4592700965.439976,-62.38116754998808
France,2010,Biomass,1433.3918411522145,25059.907750623213,6039510224.627967,858802,0.2134811186768688,4213439.79450391,5349817140.542179,-42.42279569008225
Russia,2022,Wind,27760.16480394416,84201.27549166404,9912777571.624329,824533,0.2722656047257117,357086.40930748085,22925111190.414158,50.32438855911342
USA,2014,Solar,43304.79680022438,89112.98199151411,2616267493.1680384,432256,0.3168980565293765,60415.18922805527,28239730804.64815,601.6035275809749
France,2014,Biomass,29243.00797194437,23108.139662554186,6111773586.924753,245221,0.146362135440834,208999.48434813425,3382156667.076464,-64.03005114091822
Brazil,2018,Hydro,6980.818054044823,67246.2884968573,221727721.10147747,799927,0.4669876310303446,31762.42660743809,31403184960.730503,9105.91711450139
France,2009,Wind,30921.251716579747,81776.58591372558,3888148722.3395586,915339,0.4409374161765976,125743.57461262676,36058356496.5417,502.80440375359785
Canada,2007,Geothermal,7172.9655180940945,67493.42575267432,9607710947.95604,337070,0.4925821549695754,1339433.5890393173,33246057103.531357,124.92284826587876
USA,2001,Biomass,31130.241323073747,72834.65643613189,504694869.92290753,530058,0.317699467804618,16212.36612608035,23139531587.491295,2880.1562148168496
India,2018,Biomass,1860.4567266897743,85703.93550745097,4019105340.9466457,691668,0.2311167244216136,2160278.862329497,19807612844.52329,220.343640107418
India,2023,Biomass,27589.68636302069,43844.45286321922,9096401118.940956,631173,0.33516714887933,329702.9549104677,14695220260.339365,5.007387474714429
India,2020,Geothermal,20550.668918591586,21785.148584041617,3341577592.0875382,799532,0.2127875167179107,162601.88927789652,4635607668.528925,-9.82866919868707
Russia,2001,Wind,11959.110756964506,84376.67979691783,9080098590.54835,195559,0.4299830516413076,759262.0199842588,36280542266.4402,159.71471827115906
Germany,2008,Biomass,38902.80431190189,10296.824753173045,3330397994.4721675,838631,0.3350212249190233,85608.17281373385,3449654841.5845532,-32.67244182972382
USA,2011,Hydro,11127.677854292537,24587.6028154543,6582881281.96477,58863,0.2610443527546413,591577.2695940692,6418454862.748463,-36.62356220494836
Brazil,2002,Geothermal,37230.78880762857,46316.92552874512,9865520117.689074,634347,0.3493333877316823,264982.8390331508,16180048504.272575,6.603923587565622
USA,2017,Hydro,7839.576873922435,43940.440521189536,2328486565.168694,812697,0.3368473296389168,297016.86744270223,14801220052.720348,313.17794906715386
Australia,2009,Solar,19959.078387426373,25606.69521671131,2320138533.9035354,394329,0.4549937137431001,116244.77287313796,11650885353.339155,226.40617657123565
USA,2020,Hydro,28294.358996992712,8883.530389015408,5448697655.126579,822598,0.101022342257087,192571.87115303436,897435047.4103478,-89.29408791350573
France,2016,Geothermal,21641.11627183241,35500.926581459134,6536709907.41936,462594,0.3949716400235016,302050.4961625938,14021859194.232836,39.43112980899527
India,2012,Geothermal,34389.369291539246,81796.13649814908,5941908625.900545,965166,0.2291554035080623,172783.2975221916,18744026664.633892,105.04551818424342
Brazil,2006,Solar,3391.263545009229,18920.5711373932,1802571791.4595575,349433,0.1859459774607958,531533.9747370334,3518204094.2590995,26.864997671840126
Japan,2013,Hydro,42941.78240086261,88491.08920204134,6432797810.833909,608200,0.4427444680903545,149802.76670361703,39178940219.49391,295.8823499750219
Germany,2006,Hydro,21493.91360101722,90197.66845928117,7566212718.16682,716590,0.1281828674722361,352016.5223800258,11561795782.420727,-0.6746500725625264
USA,2002,Solar,17209.514144080902,87519.50339338889,2903334194.308811,476839,0.2119369326661265,168705.18075069503,18548615097.657494,315.267379039968
Brazil,2007,Biomass,6130.987712072585,41400.85021600424,264452109.9071983,771649,0.1152599199235811,43133.68780473385,4771858680.6648245,1072.880845428153
China,2008,Geothermal,8974.167686742248,57851.514854951994,3206440785.241032,516290,0.4768068733232242,357296.7318159191,27583999915.001717,459.1745223326594
India,2018,Biomass,36348.597709736685,84586.54515632393,1550547526.7786896,491259,0.1742692141583665,42657.69863147554,14740830752.763754,517.9455852735057
USA,2019,Solar,20009.739940398955,72798.40660516857,3122725697.6538982,62961,0.1585772360723861,156060.28398945986,11544170109.921368,140.29361839518666
India,2000,Wind,39249.15697682219,49328.19487047808,7245473465.972752,435990,0.4017919542918248,184602.01502547998,19819671818.697357,77.80462163936286
Russia,2000,Biomass,27680.179067573812,82302.75750414467,4276274673.900076,993629,0.3189736252199564,154488.69255725137,26252408926.695995,299.0404523474989
USA,2007,Biomass,921.959503513334,66878.80099891275,9429076873.47606,131172,0.1998306864636787,10227213.709001798,13364436713.480494,-7.871322078214507
China,2003,Wind,49062.48816879949,29638.154753828832,3370178171.9121513,143666,0.2369247262049689,68691.54618324805,7022011700.271393,35.432234509629374
Australia,2013,Wind,46103.56379504835,57510.10471173504,8090497222.181802,24681,0.2609324666066404,175485.28912315328,15006253477.239193,20.5619938100053
Canada,2002,Biomass,3755.723893094824,75454.5168648701,2087846540.361606,3191,0.0522094531633783,555910.5514120104,3939439064.221773,22.644808526045296
France,2006,Geothermal,21660.339612294145,91405.1064737388,5725878560.99139,185210,0.43922026461073,264348.51269559277,40146975052.1675,355.74724482788616
Japan,2014,Geothermal,18355.149679197304,21406.41396968344,6886268126.627226,135493,0.3470772113960801,375168.18151756807,7429678466.587821,-29.87070914929091
France,2002,Hydro,25952.438060014196,12976.489325085342,36905021.13789488,90007,0.386699588478501,1422.025208288839,5018003081.906163,8738.098184666313
Canada,2013,Solar,47148.59780857242,56844.85473128868,3137118138.966521,501179,0.1871866443466778,66536.827918054,10640597605.5243,120.4694926111167
